partitions	time	tree
5	32.3131990204	Kdtree
5	5.8964551074000005	Quadtree
6	28.4626876394	Kdtree
6	7.197514374	Quadtree
7	28.2749760162	Kdtree
7	6.7156954392	Quadtree
8	27.5530041518	Kdtree
8	6.0930938444	Quadtree
9	29.1163354256	Kdtree
9	7.4572727092	Quadtree
10	31.417396393	Kdtree
10	7.348648427	Quadtree
11	30.691740021	Kdtree
11	6.5631903576	Quadtree
12	27.226367958199997	Kdtree
12	7.8908549858	Quadtree
13	30.1048362774	Kdtree
13	6.8020509942	Quadtree
14	29.8673578194	Kdtree
14	6.997647023	Quadtree
15	32.4870769476	Kdtree
15	11.3950986095	Quadtree
16	29.5448759762	Kdtree
16	7.950782347	Quadtree
17	32.964209363	Kdtree
17	7.7217858695	Quadtree
18	31.0391777522	Kdtree
18	8.113087210333333	Quadtree
19	37.532909015	Kdtree
19	8.878570223666667	Quadtree
20	29.6016689038	Kdtree
20	8.0983054905	Quadtree
21	29.3993371216	Kdtree
21	6.727103291	Quadtree
