partitions	time	tree
5	545.2155130686	Kdtree
5	574.7852614778	Quadtree
6	557.2215243396	Kdtree
6	500.0428816606	Quadtree
7	469.654356623	Kdtree
7	444.5949137584	Quadtree
8	458.3918808098	Kdtree
8	435.834076859	Quadtree
9	387.351411828	Kdtree
9	409.9598725182	Quadtree
10	420.995548536	Kdtree
10	427.23714956699996	Quadtree
11	403.5640923048	Kdtree
11	418.194755881	Quadtree
12	372.0781119556	Kdtree
12	388.974097725	Quadtree
13	386.5914638734	Kdtree
13	424.9885186052	Quadtree
14	368.719315816	Kdtree
14	399.31102586566664	Quadtree
15	382.2895041095	Kdtree
15	430.09778980925	Quadtree
16	377.5158727105	Kdtree
16	405.828467032	Quadtree
17	381.34129416775	Kdtree
17	439.94224448675	Quadtree
18	397.09311535866664	Kdtree
18	443.02241069666667	Quadtree
19	403.225659296	Kdtree
19	466.10669312566665	Quadtree
20	410.6787795705	Kdtree
20	475.24445995350004	Quadtree
21	431.569420515	Kdtree
21	472.088117018	Quadtree
