partitions	time	tree
1	15.7176149466	Kdtree
1	2.6530974266	Quadtree
2	15.1594943444	Kdtree
2	2.7468745390000002	Quadtree
3	13.6412919288	Kdtree
3	2.8609128516	Quadtree
4	13.7023387016	Kdtree
4	3.1100870424	Quadtree
5	18.2346041624	Kdtree
5	3.1275596868	Quadtree
6	14.2800002968	Kdtree
6	2.9286450078	Quadtree
7	13.2514532242	Kdtree
7	3.084666585	Quadtree
8	15.8306685436	Kdtree
8	3.0062999624	Quadtree
9	16.881727900999998	Kdtree
9	3.0901036234	Quadtree
10	17.554947923	Kdtree
10	5.0711731445999995	Quadtree
11	13.4134855428	Kdtree
11	3.0521262638	Quadtree
12	15.2615693414	Kdtree
12	5.7751391748	Quadtree
13	16.9823369986	Kdtree
13	3.1579169104	Quadtree
14	18.379767910800002	Kdtree
14	3.335292086	Quadtree
15	16.351606729	Kdtree
15	3.2987445466	Quadtree
