partitions	tree	nodes
1	Kdtree	1428.6
1	Quadtree	2452
2	Kdtree	2882.2
2	Quadtree	4936
3	Kdtree	4220.4
3	Quadtree	7309
4	Kdtree	5769.2
4	Quadtree	9880
5	Kdtree	7240.4
5	Quadtree	12373
6	Kdtree	8657.8
6	Quadtree	14824
7	Kdtree	10140.6
7	Quadtree	17458
8	Kdtree	11538.6
8	Quadtree	19709.8
9	Kdtree	12977.6
9	Quadtree	22207
10	Kdtree	14412.2
10	Quadtree	24787
11	Kdtree	15940
11	Quadtree	27673
12	Kdtree	17258.6
12	Quadtree	30016
13	Kdtree	18810.8
13	Quadtree	32896
14	Kdtree	20287.8
14	Quadtree	35596
15	Kdtree	21559.2
15	Quadtree	38083
