partitions	time	tree
1	229.933160118	Kdtree
1	215.6111155648	Quadtree
2	164.9041579618	Kdtree
2	166.5934600368	Quadtree
3	151.778764695	Kdtree
3	154.995389066	Quadtree
4	122.9010667158	Kdtree
4	126.4638654152	Quadtree
5	128.76245135759999	Kdtree
5	135.0392483214	Quadtree
6	117.9709198916	Kdtree
6	131.681934805	Quadtree
7	122.9995406564	Kdtree
7	136.2783433222	Quadtree
8	117.7047819278	Kdtree
8	142.9183920348	Quadtree
9	122.1642248906	Kdtree
9	147.2576766194	Quadtree
10	126.1666358696	Kdtree
10	166.9951294994	Quadtree
11	120.283311469	Kdtree
11	171.2522820334	Quadtree
12	125.1160316476	Kdtree
12	181.0994333486	Quadtree
13	132.6289514414	Kdtree
13	187.9573505668	Quadtree
14	124.4983123424	Kdtree
14	189.30531865880002	Quadtree
15	135.2820325002	Kdtree
15	202.7137085762	Quadtree
