partitions	stage	size	time
8K	layer1	MainUS	40.0264
8K	layer2	MainUS	37.422000000000004
8K	overlay	MainUS	178.393
9K	layer1	MainUS	36.1912
9K	layer2	MainUS	31.4988
9K	overlay	MainUS	147.71620000000001
10K	layer1	MainUS	32.0354
10K	layer2	MainUS	29.5068
10K	overlay	MainUS	131.3272
11K	layer1	MainUS	32.1976
11K	layer2	MainUS	29.6132
11K	overlay	MainUS	120.1062
12K	layer1	MainUS	32.721599999999995
12K	layer2	MainUS	30.6712
12K	overlay	MainUS	115.5544
13K	layer1	MainUS	36.587399999999995
13K	layer2	MainUS	33.3454
13K	overlay	MainUS	113.71719999999999
14K	layer1	MainUS	39.3178
14K	layer2	MainUS	36.6142
14K	overlay	MainUS	109.2212
15K	layer1	MainUS	43.9486
15K	layer2	MainUS	41.6502
15K	overlay	MainUS	114.8242
16K	layer1	MainUS	51.333
16K	layer2	MainUS	48.8548
16K	overlay	MainUS	123.87780000000001
17K	layer1	MainUS	56.9222
17K	layer2	MainUS	54.8692
17K	overlay	MainUS	118.8853
18K	layer1	MainUS	68.6656
18K	layer2	MainUS	64.80080000000001
18K	overlay	MainUS	130.67
